Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
pachanga	"Bakir ""pachanga"" Kurbanaliev (born January 5, 1998) is an inactive Kyrgyz professional Counter-Strike: Global Offensive player."	Бакир Курбаналиев	Bakir Kurbanaliev	Kyrgyzstan	January  5, 1998 (age 25)	Inactive	2015 – 2021							$4,362	Global Offensive		3
SNk	"Aleksandr ""SNk"" Semkin (born February 2, 1996) is a Kyrgyz professional Counter-Strike: Global Offensive player."	Александр Семкин	Aleksandr Semkin	Kyrgyzstan	February  2, 1996 (age 27)	Active	2015 – Present						SNk	$5,778	Global Offensive		3
broky	"Helvijs ""broky"" Saukants (born February 14, 2001) is a Latvian professional Counter-Strike: Global Offensive player who plays for FaZe Clan as the AWPer."	Helvijs Saukants		Latvia	February 14, 2001 (age 22)	Active	2017 – Present			AWPer	FaZe Clan	Latvian Laser		$832,615	Global Offensive	1,842,226	11
EIZA	"Einārs ""EIZA"" Zarāns (born October 9, 2000) is a Latvian professional Counter-Strike: Global Offensive player."	Einārs Zarāns		Latvia	October  9, 2000 (age 23)	Active	2019 – Present			Rifler	GenOne		EiZA, EiZAA	$7,498	Global Offensive	1,842,226	11
Flarich	"Vadim ""Flarich"" Karetin (born September 8, 1996) is a Latvian professional Counter-Strike: Global Offensive player. He retired on July 10th, 2021 before returning on July 25th, 2022."	Vadim Karetin		Latvia	September  8, 1996 (age 27)	Active	2015 – 2021, 2022 – Present			lurker			Flar1ch	$25,512	Global Offensive	1,842,226	11
hyskeee	"Reinis ""hyskeee"" Grīnbergs (born May 2, 1997) is a Latvian professional Counter-Strike: Global Offensive coach and former player."	Reinis Grīnbergs		Latvia	May  2, 1997 (age 26)	Active	2015 – 2023	2023 – Present		Coach	Nigma Galaxy Female			$11,265	Global Offensive	1,842,226	11
Independent	"Miks ""Independent"" Siliņš (born July 3, 1998) is a Latvian professional Counter-Strike: Global Offensive coach and former player. He was previously banned from Valve-sponsored events due to a VAC ban issued on August 13th, 2014, but has been unbanned following Counter-Strike's ""New RMR Eligibility Guidelines"" blog post."	Miks Siliņš		Latvia	July  3, 1998 (age 25)	VAC Banned	2014 – 2017, 2020 – 2021,	2020 2022 – Present			Guild Esports			$1,336	Global Offensive	1,842,226	11
keen	"Kristers ""keen"" Dārznieks (born May 18, 2000) is a Latvian professional Counter-Strike: Global Offensive player."	Kristers Dārznieks		Latvia	May 18, 2000 (age 23)	Active	2017 – Present			In-game leader	The Prodigies			$11,631	Global Offensive	1,842,226	11
krii	"Kristaps ""krii"" Bricis (born July 29, 1998) is a Latvian professional Counter-Strike: Global Offensive player."	Kristaps Bricis		Latvia	July 29, 1998 (age 25)	Active	2015 – Present			Rifler	The Prodigies			$11,348	Global Offensive	1,842,226	11
prelideN	"Aivis ""prelideN"" Krastiņš (born January 23, 1999) is a Latvian professional Counter-Strike: Global Offensive player."	Aivis Krastiņš		Latvia	January 23, 1999 (age 24)	Active	2014 – Present			entry fragger				$1,475	Global Offensive	1,842,226	11
R0b3n	"Roberts ""R0b3n"" Čigauskis (born September 16, 2001) is a Latvian professional Counter-Strike: Global Offensive player."	Roberts Čigauskis		Latvia	September 16, 2001 (age 22)	Active	2016 – Present			Rifler				$16,121	Global Offensive	1,842,226	11
shield	"Roberts ""shield"" Tipsis (born January 19, 2003) is a Latvian professional Counter-Strike: Global Offensive player."	Roberts Tipsis		Latvia	January 19, 2003 (age 20)	Active	2018 – Present			AWPer	The Prodigies			$10,368	Global Offensive	1,842,226	11
YEKINDAR	"Mareks ""YEKINDAR"" Gaļinskis (born October 4, 1999) is a Latvian professional Counter-Strike: Global Offensive player who currently plays for Team Liquid. Famous for being one of the most aggressive entry fraggers in the world, he took up the role of an in-game leader after 5.5 years of professional play in June 2023."	Mareks Gaļinskis		Latvia	October  4, 1999 (age 24)	Active	2017 – Present				Team Liquid		yr, YEK1NDAR	$429,611	Global Offensive	1,842,226	11
zAAz	"Zainab ""zAAz"" Turkie (born June 7, 1991) is a Swedish professional Counter-Strike: Global Offensive and former Counter-Strike player from Lebanon. She is also a former VALORANT player."	Zainab Turkie		Lebanon	June  7, 1991 (age 32)	Active	2002 – 2021, 2022 – Present			Rifler	G2 Oya			$54,343	Global Offensive	5,296,814	5
Empera	"Hsein ""Empera"" Chehab is a Lebanese Counter-Strike: Global Offensive player."	هسين شهاب	Hsein Chehab	Lebanon		Active	2017 – Present			entry fragger				$8,187	Global Offensive	5,296,814	5
Jabz	"Omar ""Jabz"" Jabbouri is an inactive Lebanese professional Counter-Strike: Global Offensive player."	عمر الجبوري	Omar Jabbouri	Lebanon		Inactive	2016 – 2020			Rifler				$5,277	Global Offensive	5,296,814	5
m1N1	"Hussein ""m1N1"" Hijazi (born September 17, 2004) is a Lebanese professional Counter-Strike: Global Offensive player."	حسين حجازي	Hussein Hijazi	Lebanon	September 17, 2004 (age 19)	Active	2020 – Present			Rifler				$834	Global Offensive	5,296,814	5
Senpai	"Bilal ""Senpai"" Chehab (born December 4, 2000) is a Lebanese professional Counter-Strike: Global Offensive player."	بلال شِهاب	Bilal Chehab	Lebanon	December  4, 2000 (age 22)	Active	2017 – Present			Rifler			Senpaiii	$5,853	Global Offensive	5,296,814	5
Bymas	"Aurimas ""Bymas"" Pipiras (born August 12, 2003) is a Lithuanian professional Counter-Strike: Global Offensive player."	Aurimas Pipiras		Lithuania	August 12, 2003 (age 20)	Active	2018 – Present			lurker	Into The Breach			$107,091	Global Offensive	2,867,725	11
EspiranTo	"Rokas ""EspiranTo"" Milasauskas (born April 12, 2001) is a Lithuanian professional Counter-Strike: Global Offensive player."	Rokas Milasauskas		Lithuania	April 12, 2001 (age 22)	Active	2015 – Present			entry fragger				$91,752	Global Offensive	2,867,725	11
haflex	"Titas ""haflex"" Milasauskas is an inactive Lithuanian professional Counter-Strike: Global Offensive player."	Titas Milasauskas		Lithuania		Inactive	2016 – 2018							$4,487	Global Offensive	2,867,725	11
jL	"Justinas ""jL"" Lekavicius (born September 29, 1999) is a Lithuanian professional Counter-Strike: Global Offensive player for Natus Vincere."	Justinas Lekavicius		Lithuania	September 29, 1999 (age 24)	Active	2018 – Present			lurker	Natus Vincere		jL-	$103,223	Global Offensive	2,867,725	11
kalinka	"Nikolaj ""kalinka"" Rysakov (formerly stylized as ""kAliNkA"") (born May 20, 1994) is a Lithuanian professional Counter-Strike: Global Offensive player."	Nikolaj Rysakov		Lithuania	May 20, 1994 (age 29)	Inactive	2015 – 2021							$39,219	Global Offensive	2,867,725	11
Kvik	"Aurimas ""Kvik"" Kvaksis (born November 18, 1995) is a Lithuanian professional Counter-Strike: Global Offensive player."	Aurimas Kvakšys		Lithuania	November 18, 1995 (age 27)	Active	2014 – Present							$35,035	Global Offensive	2,867,725	11
lukjjE	"Lukas ""lukjjE"" Baciliunas (born January 19, 1995) is a Lithuanian professional Counter-Strike: Global Offensive player."	Lukas Baciliunas		Lithuania	January 19, 1995 (age 28)	Active	2014 – Present							$33,775	Global Offensive	2,867,725	11
maty	"Armandas ""maty"" Kneita is a Lithuanian professional Counter-Strike: Global Offensive player."	Armandas Kneita		Lithuania		Active	2017 – Present			Rifler				$15,395	Global Offensive	2,867,725	11
pounh	"Eimantas ""pounh"" Lazickas (born March 27, 1997) is a Lithuanian professional Counter-Strike: Global Offensive player."	Eimantas Lazickas		Lithuania	March 27, 1997 (age 26)	Active	2016 – Present						L421CK45	$37,358	Global Offensive	2,867,725	11
ryu	"Gytis ""ryu"" Glušauskas (born July 25, 2004) is a Lithuanian professional Counter-Strike: Global Offensive player."	Gytis Glušauskas		Lithuania	July 25, 2004 (age 19)	Active	2020 – Present			Rifler				$4,557	Global Offensive	2,867,725	11
entz	"Edgaras ""entz"" Luksas (born January 24, 1997) is a British-Lithuanian professional Counter-Strike: Global Offensive player."	Edgaras Luksas		Lithuania	January 24, 1997 (age 26)	Active	2018 – Present							$4,454	Global Offensive	2,867,725	11
3nable	"Ridzuan ""3nable"" Hazi (born March 13, 1999) is a Malaysian professional Counter-Strike: Global Offensive player. He is also a former professional VALORANT player."	Muhammad Ridzuan Hazi		Malaysia	March 13, 1999 (age 24)	Active	2016 – 2019, 2023 – Present			support				$9,827	Global Offensive		6
Argent	"Aisya ""Argent"" Sabrina (born March 28, 1998) is a Malaysian professional Counter-Strike: Global Offensive player."	Aisya Sabrina		Malaysia	March 28, 1998 (age 25)	Active	2018 – Present				HSG			$10,250	Global Offensive		6
cara	"Iman ""cara"" Jeffery (born February 23, 1999) is a Malaysian professional Counter-Strike: Global Offensive player."	Iman Jeffery		Malaysia	February 23, 1999 (age 24)	Active	2015 – 2022, 2023 – Present				Medal Esports			$9,985	Global Offensive		6
GFi	"Ramona ""GFi"" Azween (born May 25, 1989) is a Malaysian professional Counter-Strike: Global Offensive player."	Ramona Azween Binti Zaharuddin		Malaysia	May 25, 1989 (age 34)	Active	2009 – Present				HSG		GFi#, gfi	$12,803	Global Offensive		6
kaze	"Andrew ""kaze"" Khong (born July 22, 1994) is a Malaysian professional Counter-Strike: Global Offensive player."		Andrew Khong Weng Keong	Malaysia	July 22, 1994 (age 29)	Active	2010 – Present			AWPer	TYLOO		celeste	$108,981	Global Offensive		6
Kimmy	"Kimberly ""Kimmy"" Nelson (born September 15, 1997) is a Malaysian professional Counter-Strike: Global Offensive player who currently resides in Canada."	Kimberly Nelson		Malaysia	September 15, 1997 (age 26)	Active	2020 – 2021, 2022 – Present				Hyperion			$3,292	Global Offensive		6
Xaka	"Kyle ""Xaka"" Gatt (born November 15, 1999) is a Maltese professional Counter-Strike: Global Offensive player."	Kyle Gatt		Malta	November 15, 1999 (age 23)	Active	2018 – Present			AWPer				$4,736	Global Offensive	519,562	2
malta	"Liam ""malta"" Schembri (born November 1, 1995) is an Australian-Maltese professional Counter-Strike: Global Offensive player."	Liam Schembri		Malta	November  1, 1995 (age 27)	Active	2015 – Present				VERTEX Esports Club		ManFromMalta, MFM	$103,785	Global Offensive	519,562	2
chuti	"Fernando ""chuti"" Planchart (born February 9, 1991) is a Mexican professional Counter-Strike: Global Offensive player."	Fernando Planchart		Mexico	February  9, 1991 (age 32)	Active	2013 – Present			entry fragger				$26,833	Global Offensive		5
k1Nky	"Francisco ""k1Nky"" Alvares (born March 23, 1991) is a Mexican professional Counter-Strike: Global Offensive player."	Francisco Alvares		Mexico	March 23, 1991 (age 32)	Active	2013 – Present			entry fragger			k1-25	$8,291	Global Offensive		5
MarKE	"Edgar ""MarKE"" Maldonado (born May 10, 1998) is a Mexican professional Counter-Strike: Global Offensive player."	Edgar Maldonado		Mexico	May 10, 1998 (age 25)	Active	2015 – Present				Nouns Esports			$167,008	Global Offensive		5
Marro	"Bryan ""Marro"" Valles (born October 2, 2000) is a Mexican professional Counter-Strike: Global Offensive player."	Bryan Valles Valenzuela		Mexico	October  2, 2000 (age 23)	Active	2016 – Present			support				$3,350	Global Offensive		5
SecretAgent	"Jose ""SecretAgent"" Fernandez (born October 21, 1988) is a Mexican professional Counter-Strike: Global Offensive player, coach and former Counter-Strike: Source and Counter-Strike player."	Jose Fernandez		Mexico	October 21, 1988 (age 34)	Active	2003 – 2018, 2019 – Present			In-game leader				$9,517	Global Offensive		5
tudsoN	"Filip ""tudsoN"" Tudev (born March 10, 2000) is a Polish-Mongolian professional Counter-Strike: Global Offensive player. He currently resides in the United Kingdom and is the younger brother of soren."	Filip Tudev		Mongolia	March 10, 2000 (age 23)	Active	2017 – Present			AWPer			tudson2k, TUDSON	$15,408	Global Offensive	3,227,863	36
910	"Usukhbayar ""910"" Banzragch is a Mongolian professional Counter-Strike: Global Offensive player."	Банзрагчийн Өсөхбаяр	Usukhbayar Banzragch	Mongolia		Active	2022 – Present			AWPer	The MongolZ		91O	$5,686	Global Offensive	3,227,863	36
ANNIHILATION	"Tuvshintugs ""ANNIHILATION"" Nyamdorj (stylized as Annihilation prior to late 2022) (born January 25, 2000) is a Mongolian professional Counter-Strike: Global Offensive player."	Нямдоржийн Түвшинтөгс	Tuvshintugs Nyamdorj	Mongolia	January 25, 2000 (age 23)	Active	2018 – Present			AWPer			Annihilation, anhil	$33,793	Global Offensive	3,227,863	36
Bart4k	"Baatarkhuu ""Bart4k"" Batbold (born May 29, 2004) is a Mongolian professional Counter-Strike: Global Offensive player. He is Ayush ""mzinho"" Batbold's brother."	Батболдын Баатархүү	Baatarkhuu Batbold	Mongolia	May 29, 2004 (age 19)	Active	2020 – Present			Rifler	Tsetsegchid			$23,800	Global Offensive	3,227,863	36
BestronG	"Khurts ""BestronG"" Artssed is a Mongolian professional Counter-Strike: Global Offensive coach and former professional player."	Арцсэдийн Хурц	Khurts Artssed	Mongolia	November 10, 1990 (age 32)	Active	2013 – 2016	2018 – Present		Coach	Eruption			$41	Global Offensive	3,227,863	36
bLitz	"Garidmagnai ""bLitz"" Byambasuren (born June 26, 2001) is a Mongolian professional Counter-Strike: Global Offensive player."	Бямбасүрэнгийн Гарьдмагнай	Garidmagnai Byambasuren	Mongolia	June 26, 2001 (age 22)	Active	2020 – Present				The MongolZ			$40,834	Global Offensive	3,227,863	36
cool4st	"Sodbileg ""cool4st"" Batbaatar (born June 11, 2002) is a Mongolian professional Counter-Strike: Global Offensive player."	Батбаатарын Содбилэг	Sodbileg Batbaatar	Mongolia	June 11, 2002 (age 21)	Active	2018 – Present				ATOX Esports			$18,792	Global Offensive	3,227,863	36
dobu	"Gan-Erdene ""dobu"" Batbold (born March 13, 1999) is a Mongolian professional Counter-Strike: Global Offensive player."	Батболдын Ган-Эрдэнэ	Gan-Erdene Batbold	Mongolia	March 13, 1999 (age 24)	Active	2016 – Present			Rifler	ATOX Esports			$62,528	Global Offensive	3,227,863	36
erkaSt	"Erdenetsogt ""erkaSt"" Gantulga (born March 19, 1995) is a Mongolian professional Counter-Strike: Global Offensive player. He is mostly known for his time on Grayhound Gaming and as one of the most experienced CS:GO players in the Asian region."	Гантулгын Эрдэнэцогт	Erdenetsogt Gantulga	Mongolia	March 19, 1995 (age 28)	Active	2016 – 2021, 2022 – Present				Team NKT		erkast, erk4st	$69,640	Global Offensive	3,227,863	36
fury5k	"Davaasuren ""fury5k"" Ganbaatar (born December 7, 1998) is a Mongolian professional Counter-Strike: Global Offensive player."	Ганбаатарын Даваасүрэн	Davaasuren Ganbaatar	Mongolia	December  7, 1998 (age 24)	Active	2019 – Present			Rifler	Eruption			$5,460	Global Offensive	3,227,863	36
H4wK	"Sergelen ""H4wK"" Jigjidsuren (born May 16, 1996) is a Mongolian professional Counter-Strike: Global Offensive player."	Жигжидсүрэнгийн Сэргэлэн	Sergelen Jigjidsuren	Mongolia	May 16, 1996 (age 27)	Active	2017 – Present			Rifler				$7,205	Global Offensive	3,227,863	36
hasteka	"Chinguun ""hasteka"" Bayarmaa (born July 19, 1998) is a Mongolian professional Counter-Strike: Global Offensive player."	Баярмаагийн Чингүүн	Chinguun Bayarmaa	Mongolia	July 19, 1998 (age 25)	Active	2016 – Present			Rifler				$17,221	Global Offensive	3,227,863	36
HellHound	"Batsuuri ""HellHound"" Baatarkhuu (born November 6, 1982) is a Mongolian professional Counter-Strike: Global Offensive coach."	Баатархүү Батсуурь	Batsuuri Baatarkhuu	Mongolia	November  6, 1982 (age 40)	Active		2021 – Present		Coach					Global Offensive	3,227,863	36
kabal	"Bat-Enkh ""kabal"" Batbayar (born June 1, 1995) is a Mongolian professional Counter-Strike: Global Offensive player who plays for ATOX Esports as a lurker."	Батбаярын Бат-Энх	Bat-Enkh Batbayar	Mongolia	June  1, 1995 (age 28)	Active	2016 – Present			Rifler	ATOX Esports		kabie	$74,250	Global Offensive	3,227,863	36
maaRaa	"Erdenedalai ""maaRaa"" Bayanbat (born April 13, 1990) is a Mongolian professional Counter-Strike: Global Offensive coach and former professional player."	Баянбатын Эрдэнэдалай	Erdenedalai Bayanbat	Mongolia	April 13, 1990 (age 33)	Active	2015 – 2020	2016 2017 – 2018, 2020 – Present		Coach	The MongolZ			$4,750	Global Offensive	3,227,863	36
Machinegun	"Enkhtaivan ""Machinegun"" Lkhagva (born February 28, 1990) is a Mongolian professional Counter-Strike: Global Offensive coach and former player."	Лхагвагийн Энхтайван	Enkhtaivan Lkhagva	Mongolia	February 28, 1990 (age 33)	Active	2015 – 2022	2023 – Present		Coach				$21,008	Global Offensive	3,227,863	36
MagnumZ	"Telmen ""MagnumZ"" Khurelkhuu (born April 24, 2001) is a Mongolian professional Counter-Strike: Global Offensive player."	Хүрэлхүүгийн Тэлмэн	Telmen Khurelkhuu	Mongolia	April 24, 2001 (age 22)	Active	2019 – Present			AWPer	Eruption		Magnumz	$3,635	Global Offensive	3,227,863	36
MiQ	"Temuulen ""MiQ"" Byambadalai (born February 18, 2003) is a Mongolian professional Counter-Strike: Global Offensive player."	Бямбадалайгийн Тэмүүлэн	Temuulen Byambadalai	Mongolia	February 18, 2003 (age 20)	Active	2021 – Present			Rifler	ATOX Esports			$4,553	Global Offensive	3,227,863	36
Mistercap	"Enkh-Amgalan ""Mistercap"" Ganbold is a Mongolian professional Counter-Strike: Global Offensive player."	Ганболдын Энх-Амгалан	Enkh-Amgalan Ganbold	Mongolia		Active	2018 – Present			Rifler			enkule	$4,301	Global Offensive	3,227,863	36
mzinho	"Ayush ""mzinho"" Batbold is a Mongolian professional Counter-Strike: Global Offensive player. He is Baatarkhuu ""Bart4k"" Batbold's younger brother."	Батболдын Аюуш	Ayush Batbold	Mongolia		Active	2020 – Present			Rifler	The MongolZ			$3,825	Global Offensive	3,227,863	36
ncl	"Bold ""ncl"" Batsukh (born December 14, 1994) is a Mongolian assistant coach for Eruption and a former professional Counter-Strike: Global Offensive player."	Батсүхийн Болд	Bold Batsukh	Mongolia	December 14, 1994 (age 28)	Active	2015 – 2023	2023 – Present		Assistant Coach				$33,833	Global Offensive	3,227,863	36
NEUZ	"Uuganbayar ""NEUZ"" Nyam-Otgon (born October 12, 1999) is a Mongolian professional Counter-Strike: Global Offensive player."	Ням-Отгоны Ууганбаяр	Uuganbayar Nyam-Otgon	Mongolia	October 12, 1999 (age 23)	Active	2017 – Present			Rifler	Eruption		neuz, noiz, dragoneuz	$15,468	Global Offensive	3,227,863	36
nin9	"Yesuntumur ""nin9"" Gantulga (born April 3, 1998) is a Mongolian professional Counter-Strike: Global Offensive player."	Гантулгын Есөнтөмөр	Yesuntumur Gantulga	Mongolia	April  3, 1998 (age 25)	Active	2017 – Present			AWPer	Team NKT			$35,308	Global Offensive	3,227,863	36
PRISM	"Irmuun ""PRISM"" Tuul is a Mongolian professional Counter-Strike: Global Offensive player."	Туулын Ирмүүн	Irmuun Tuul	Mongolia		Active	2016 – Present						PRISM2GETA	$628	Global Offensive	3,227,863	36
rate	"Tengis ""rate"" Boldbaatar (born October 2, 2002) is a active Mongolian professional Counter-Strike: Global Offensive player."	Болдбаатарын Тэнгис	Tengis Boldbaatar	Mongolia	October  2, 2002 (age 21)	Active	2017 – Present			Rifler	Tsetsegchid			$23,100	Global Offensive	3,227,863	36
ROUX	"Undrakhbayar ""ROUX"" Zolbayar (born May 26, 2000) is a Mongolian professional Counter-Strike: Global Offensive player."	Золбаярын Ундрахбаяр	Undrakhbayar Zolbayar	Mongolia	May 26, 2000 (age 23)	Active	2018 – Present			Rifler	Eruption			$6,855	Global Offensive	3,227,863	36
Senzu	"Azbayar ""Senzu"" Munkhbold (born August 11, 2006) is a Mongolian professional Counter-Strike: Global Offensive player."	Мөнхболдын Азбаяр	Azbayar Munkhbold	Mongolia	August 11, 2006 (age 17)	Active	2019 – Present			Rifler	The MongolZ		Senzu-, senzu	$7,397	Global Offensive	3,227,863	36
shinobi	"Telmen ""shinobi"" Batzorig (born March 5, 1994) is a Mongolian professional Counter-Strike: Global Offensive player."	Батзоригийн Тэлмэн	Telmen Batzorig	Mongolia	March  5, 1994 (age 29)	Active	2017 – Present			Rifler				$17,857	Global Offensive	3,227,863	36
sk0R	"Tengis ""sk0R"" Batjargal is a Mongolian professional Counter-Strike: Global Offensive player."	Батжаргалын Тэнгис	Tengis Batjargal	Mongolia	May 12, 2002 (age 21)	Active	2018 – Present			Rifler	TYLOO			$35,984	Global Offensive	3,227,863	36
tamir	"Munkhtamir ""tamir"" Ganbaatar (born March 11, 1994) is a Mongolian professional Counter-Strike: Global Offensive player."	Ганбаатарын Мөнхтамир	Munkhtamir Ganbaatar	Mongolia	March 11, 1994 (age 29)	Active	2015 – Present				D13		Tamiraa, Tamiraarita	$18,848	Global Offensive	3,227,863	36
Techno4K	"Sodbayar ""Techno4K"" Munkhbold (born May 20, 2005) is a Mongolian professional Counter-Strike: Global Offensive player."	Мөнхболдын Содбаяр	Sodbayar Munkhbold	Mongolia	May 20, 2005 (age 18)	Active	2019 – Present			Rifler	The MongolZ		Techno	$39,523	Global Offensive	3,227,863	36
Tsogoo	"Tsog ""Tsogoo"" Mashbat (born May 30, 1994) is a Mongolian professional Counter-Strike: Global Offensive player."	Машбатын Цог	Tsog Mashbat	Mongolia	May 30, 1994 (age 29)	Active	2015 – Present				Tsetsegchid			$27,490	Global Offensive	3,227,863	36
worldpeace	"Enkhmanlai ""worldpeace"" Batbayar is a Mongolian professional Counter-Strike: Global Offensive player and coach. Additionally, he is the founder and co-owner of D13."	Батбаяр Энхманлай	Enkhmanlai Batbayar	Mongolia		Active	2017 – Present	2020 – Present		Coach	D13		world	$1,617	Global Offensive	3,227,863	36
xerolte	"Munkhtogtokh ""xerolte"" Enkhbat (born May 3, 2003) is a Mongolian professional Counter-Strike: Global Offensive player."	Мөнхтогтох Энхбатын	Enkhbat Munkhtogtokh	Mongolia	May  3, 2003 (age 20)	Active	2020 - Present				Team NKT		kuntae	$10,286	Global Offensive	3,227,863	36
yAmi	"Yalalt ""yAmi"" Oyunbileg (born February 3, 2005) is a Mongolian professional Counter-Strike: Global Offensive player."	Оюунбилэгийн Ялалт	Yalalt Oyunbileg	Mongolia	February  3, 2005 (age 18)	Active	2019 – Present			Rifler	ATOX Esports			$10,201	Global Offensive	3,227,863	36
Zilkenberg	"Temuulen ""Zilkenberg"" Battulga (born March 13, 1991) is a Mongolian professional Counter-Strike: Global Offensive player."	Баттулгын Тэмүүлэн	Temuulen Battulga	Mongolia	March 13, 1991 (age 32)	Active	2014 – Present			AWPer				$22,817	Global Offensive	3,227,863	36
Cjoffo	"Andrej ""Cjoffo"" Šarac (born July 30, 2004) is a Montenegrin professional Counter-Strike: Global Offensive player."	Андреј Шарац	Andrej Šarac	Montenegro	July 30, 2004 (age 19)	Active	2020 – Present			Rifler	Zero Tenacity			$6,623	Global Offensive	602,445	3
Lobanjica	"Nikola ""Lobanjica"" Mijomanović (born September 15, 1989) is a Montenegrin Counter-Strike: Global Offensive streamer and semi-professional player."	Никола Мијомановић	Nikola Mijomanović	Montenegro	September 15, 1989 (age 34)	Active	2016 – Present			Rifler			Loba, DaddyLoba	$101,660	Global Offensive	602,445	3
maden	"Pavle ""maden"" Bošković (born November 12, 1998) is a Montenegrin professional Counter-Strike: Global Offensive player for ENCE."	Павле Бошковић	Pavle Bošković	Montenegro	November 12, 1998 (age 24)	Active	2016 – Present			entry fragger	ENCE		madennn	$275,666	Global Offensive	602,445	3
hAdji	"Ali ""hAdji"" Haïnouss (born November 3, 1995) is a French professional Counter-Strike: Global Offensive player."	Ali Haïnouss		Morocco	November  3, 1995 (age 27)	Active	2015 – Present			Rifler	Looking4Org			$102,009	Global Offensive	37,984,655	1
Bernard	"Bernardus ""Bernard"" Stornebrink (born March 7, 1996) is a Dutch professional Counter-Strike: Global Offensive player ."	Bernardus Stornebrink		Netherlands	March  7, 1996 (age 27)	Active	2016 – Present			In-game leader			Bernardus	$13,750	Global Offensive	16,655,799	11
blackie	"Steven ""blackie"" Groeneveld (born February 9, 1999) is a Dutch professional Counter-Strike: Global Offensive player."	Steven Groeneveld		Netherlands	February  9, 1999 (age 24)	Inactive	2017 – 2021			Rifler				$7,074	Global Offensive	16,655,799	11
chrisJ	"Chris ""chrisJ"" de Jong (born May 25, 1990) is an inactive Dutch professional Counter-Strike: Global Offensive and former professional Counter-Strike player. Prior to being benched for the final time in January 2021, he played for MOUZ since October 2013."	Christiaan Willem George de Jong		Netherlands	May 25, 1990 (age 33)	Inactive	2011 – 2021							$610,834	Global Offensive	16,655,799	11
CRUC1AL	"Joey ""CRUC1AL"" Steusel (born February 4, 1997) is a Dutch professional Counter-Strike: Global Offensive player."	Joey Steusel		Netherlands	February  4, 1997 (age 26)	Active	2013 – Present			AWPer	Into The Breach			$98,176	Global Offensive	16,655,799	11
D0cC	"Shuaib ""D0cC"" Ahmad (born September 4, 2000) is a Dutch professional Counter-Strike: Global Offensive player."	Shuaib Ahmad		Netherlands	September  4, 2000 (age 23)	Active	2017 – Present						D0cC^	$9,820	Global Offensive	16,655,799	11
FASHR	"Dion ""FASHR"" Derksen (born January 10, 1996) is a Dutch professional Counter-Strike: Global Offensive player."	Dion Derksen		Netherlands	January 10, 1996 (age 27)	Active	2016 – Present			Rifler	OG			$106,122	Global Offensive	16,655,799	11
G1DO	"Gido ""G1DO"" Brouwer (born February 7, 1995) is a Dutch professional Counter-Strike: Global Offensive player."	Gido Brouwer		Netherlands	February  7, 1995 (age 28)	Active	2013 – Present						g1do, CYTARO	$8,439	Global Offensive	16,655,799	11
luosrevo	"Jamie ""luosrevo"" Lammers is a Dutch professional Counter-Strike: Global Offensive and former Counter-Strike player."	Jamie Lammers		Netherlands		Active	2009 – Present							$4,883	Global Offensive	16,655,799	11
rilax	"Thijs ""rilax"" Izaks is a Dutch professional Counter-Strike: Global Offensive player."	Thijs Izaks		Netherlands		Active	2016 – Present			lurker				$12,838	Global Offensive	16,655,799	11
v1N	"Vincent ""v1N"" Brouwer (born December 15, 1997) is a Dutch professional Counter-Strike: Global Offensive player."	Vincent Brouwer		Netherlands	December 15, 1997 (age 25)	Active	2013 – Present							$8,666	Global Offensive	16,655,799	11
KD69z	"Kais ""KD69z"" Abduljawad (born January 1, 1999) is a Syrian-Dutch professional Counter-Strike: Global Offensive player."	قيس عبد الجواد	Kais Abduljawad	Netherlands	January  1, 1999 (age 24)	Active	2020 – Present			Rifler			KD	$2,779	Global Offensive	16,655,799	11
ADDICT	"Christian ""ADDICT"" Pendleton (born September 29, 2000) is a New Zealand professional Counter-Strike: Global Offensive player."	Christian Pendleton		New Zealand	September 29, 2000 (age 23)	Active	2019 – Present			Rifler	VERTEX Esports Club		addict	$7,752	Global Offensive		6
chelleos	"Michael ""chelleos"" Hawkins (born May 24, 2000) is a New Zealand professional Counter-Strike: Global Offensive player."	Michael Hawkins		New Zealand	May 24, 2000 (age 23)	Active	2017 – Present			AWPer	Rooster			$10,999	Global Offensive		6
Gratisfaction	"Sean ""Gratisfaction"" Kaiwai (born March 6, 1996) is a New Zealand professional Counter-Strike: Global Offensive player."	Sean Kaiwai		New Zealand	March  6, 1996 (age 27)	Active	2015 – Present			AWPer	Team NKT		Gratata	$126,812	Global Offensive		6
nettik	"Corey ""nettik"" Browne (born July 30, 2003) is a New Zealand professional Counter-Strike: Global Offensive player. In October 2020, nettik received a 12-month ban from all ESIC member events starting October 23rd, 2020 for betting offenses."	Corey Browne		New Zealand	July 30, 2003 (age 20)	Active	2018 – Present			Rifler	Rooster			$8,499	Global Offensive		6
Sico	"Simon ""Sico"" Williams (born August 8, 1994) is a New Zealand professional Counter-Strike: Global Offensive player for Grayhound Gaming."	Simon Williams		New Zealand	August  8, 1994 (age 29)	Active	2014 – Present			Rifler	Grayhound Gaming			$85,826	Global Offensive		6
