Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
S3NSEY	"Efekan ""S3NSEY"" Topaloglu (born May 17, 2003) is an Austrian professional Counter-Strike: Global Offensive player of Turkish descent."	Efekan Topaloglu		Austria	May 17, 2003 (age 20)	Active				AWPer				$12,150	Global Offensive		12
sesL	"Michael ""sesL"" Higatzberger (born June 30, 2000) is an Austrian professional Counter-Strike: Global Offensive player."	Michael Higatzberger		Austria	June 30, 2000 (age 23)	Active	2018 – Present			AWPer				$8,499	Global Offensive		12
TWEEZYCS	"Amir ""TWEEZYCS"" Zhuta (born April 17, 2001) is an Austrian professional Counter-Strike: Global Offensive player of Albanian descent."	Amir Zhuta		Austria	April 17, 2001 (age 22)	Active	2018 – Present			Rifler	ARROW			$2,349	Global Offensive		12
xTreMe	"Jonathan ""xTreMe"" Steinhöfler (born November 14, 2000) is an Austrian professional Counter-Strike: Global Offensive player."	Jonathan Steinhöfler		Austria	November 14, 2000 (age 22)	Active	2017 – Present			entry fragger	TeamOrangeGaming			$4,166	Global Offensive		12
MERISINHO	"Meris ""MERISINHO"" Bihorac (born February 5, 2000) is a Serbian-Austrian professional Counter-Strike: Global Offensive player for Lausanne-Sport Esports."	Meris Bihorac		Austria	February  5, 2000 (age 23)	Active	2019 – Present			Rifler	Lausanne-Sport Esports			$8,272	Global Offensive		12
BLACKEAGLE	"Moustafa ""BLACKEAGLE"" Baghdadi (born January 1, 1998) is a Syrian professional Counter-Strike: Global Offensive player who lives in Austria."	مصطفى بغدادي	Moustafa Baghdadi	Austria	January  1, 1998 (age 25)	Active	2017 – Present			Rifler			BLACKE4GLE	$50,486	Global Offensive		12
Jyo	"Rassim ""Jyo"" Valijev (born February 18, 1995) is an Estonian professional Counter-Strike: Global Offensive player of Azerbaijani descent."	Rassim Valijev		Azerbaijan	February 18, 1995 (age 28)	Active	2015 – Present				sYnck		jyo, Jy0	$58,303	Global Offensive	10,353,296	3
sugaR	"Amin ""sugaR"" Azimov (born January 19, 1999) is an Azerbaijani professional Counter-Strike: Global Offensive player."	Amin Azimov		Azerbaijan	January 19, 1999 (age 24)	Active	2019 – Present			Rifler	Websterz			$16,210	Global Offensive	10,353,296	3
t0rick	"Maksim ""t0rick"" Zaikin (born July 6, 1994) is an Azerbaijani professional Counter-Strike: Global Offensive player."	Maksim Zaikin		Azerbaijan	July  6, 1994 (age 29)	Active	2015 – Present			Rifler				$10,957	Global Offensive	10,353,296	3
1eeR	"Aleksandr ""1eeR"" Nahornyj (born December 31, 2001) is a Belarusian professional Counter-Strike: Global Offensive player."	Александр Нагорный	Aleksandr Nahornyj	Belarus	December 31, 2001 (age 21)	Active	2020 – Present				Nemiga Gaming			$6,797	Global Offensive	9,255,524	20
boX	"Anton ""boX"" Burko (born February 16, 1995) is a Belarusian professional Counter-Strike: Global Offensive player."	Антон Бурко	Anton Burko	Belarus	February 16, 1995 (age 28)	Active	2016 – Present				Websterz		boXig	$43,051	Global Offensive	9,255,524	20
Chill	"Artem ""Chill"" Mankevich (born November 23, 1999) is a Belarusian professional Counter-Strike: Global Offensive player."	Артем Манкевич	Artem Mankevich	Belarus	November 23, 1999 (age 23)	Active	2019 – Present			Rifler				$18,396	Global Offensive	9,255,524	20
CyberFocus	"Roman ""CyberFocus"" Dierhač (born January 31, 1995) is a Belarusian professional Counter-Strike: Global Offensive coach and former player and commentator. He first came to prominence originally as a stand-in for FlipSid3 Tactics' Oleksandr ""s1mple"" Kostyliev due to his ESL ban, but Vadim ""DavCost"" Vasilyev later took over his duties. Dergach would find himself a place on Evolution in the coming weeks, where he would later team up with s1mple."	Роман Дергач	Roman Dierhač	Belarus	January 31, 1995 (age 28)	Active	2014 – 2018, 2019 – 2020,	2020 – Present		Coach	East Legends			$10,314	Global Offensive	9,255,524	20
d1maskin	"Dmitry ""d1maskin"" Proleichik (born July 15, 1992) is a Belarusian professional Counter-Strike: Global Offensive coach."	Дзмітрый Пралейчык	Dmitry Proleichik	Belarus	July 15, 1992 (age 31)	Active		2021 – Present		Coach	Betera		d1maskeee		Global Offensive	9,255,524	20
dERZKIY	"Igor Miłošievič ""dERZKIY"" Radosavlevič (born May 17, 1996) is a Belarusian professional Counter-Strike: Global Offensive player."	Игорь Милошевич Радосавлевич	Igor Miłošievič Radosavlevič	Belarus	May 17, 1996 (age 27)	Active	2013 – Present							$9,666	Global Offensive	9,255,524	20
dOBRIY	"Roma ""dOBRIY"" Rusak (born March 1, 1998) is a Belarusian professional Counter-Strike: Global Offensive player."	Рома Русак	Roma Rusak	Belarus	March  1, 1998 (age 25)	Active	2015 – Present			lurker				$3,970	Global Offensive	9,255,524	20
fAst	"Viačesłav ""fAst"" Rubiec (born July 20, 1994) is a Belarusian professional Counter-Strike: Global Offensive player. He previously played for  Nemiga Gaming as a rifler."	Вячеслав Рубец	Viačesłav Rubiec	Belarus	July 20, 1994 (age 29)	Active	2015 – Present			Rifler				$1,621	Global Offensive	9,255,524	20
fnyekes	"Vadim ""fnyekes"" Žuravlenko (born February 2, 1999) is an inactive Belarusian professional Counter-Strike: Global Offensive player."	Вадим Журавленко	Vadim Žuravlenko	Belarus	February  2, 1999 (age 24)	Inactive	2016 – 2019			Rifler				$3,878	Global Offensive	9,255,524	20
hitMouse	"Kiriłł ""hitMouse"" Cariov (born July 3, 1990) is a Belarusian professional Counter-Strike: Global Offensive and Counter-Strike player."	Кирилл Царёв	Kiriłł Cariov	Belarus	July  3, 1990 (age 33)	Active	2004 – 2019	2019 – Present						$11,532	Global Offensive	9,255,524	20
